exit_reason,exit_time,entry_credit,exit_credit,pnl,entry_time,entry_date,expiry,signal,short_offset,hedge_offset,option_type,lot_size
Intra-Bar Stop Loss,2021-04-13 09:15:00,67.15,124.23,-2853.88,2021-04-12 12:00:00,2021-04-12,2021-04-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-04-28 09:15:00,35.15,12.3,1142.38,2021-04-27 14:00:00,2021-04-27,2021-04-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-04-28 14:15:00,29.65,10.38,963.62,2021-04-28 11:00:00,2021-04-28,2021-04-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2021-05-03 09:15:00,69.6,-21.3,4545.0,2021-04-30 14:00:00,2021-04-30,2021-05-27,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Trend Reversal,2021-05-12 10:15:00,52.0,51.65,17.5,2021-05-06 15:00:00,2021-05-06,2021-05-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2021-05-12 10:15:00,48.0,51.65,-182.5,2021-05-10 12:00:00,2021-05-10,2021-05-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2021-05-18 09:15:00,46.95,86.86,-1995.38,2021-05-17 12:00:00,2021-05-17,2021-05-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2021-05-20 14:15:00,40.85,36.25,230.0,2021-05-18 11:00:00,2021-05-18,2021-05-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2021-05-24 09:15:00,33.2,61.42,-1411.0,2021-05-21 15:00:00,2021-05-21,2021-05-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-05-25 09:15:00,31.9,11.16,1036.75,2021-05-24 14:00:00,2021-05-24,2021-05-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-06-16 09:15:00,40.65,14.23,1321.12,2021-06-14 14:00:00,2021-06-14,2021-06-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-06-22 09:15:00,27.35,9.57,888.88,2021-06-21 15:00:00,2021-06-21,2021-06-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-06-24 13:15:00,7.35,2.57,238.88,2021-06-24 13:00:00,2021-06-24,2021-06-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-07-22 09:15:00,48.25,16.89,1568.12,2021-07-20 11:00:00,2021-07-20,2021-07-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2021-07-23 09:15:00,25.85,47.82,-1098.63,2021-07-22 15:00:00,2021-07-22,2021-07-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-07-26 09:15:00,29.2,10.22,949.0,2021-07-23 12:00:00,2021-07-23,2021-07-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-07-29 12:15:00,5.05,1.77,164.12,2021-07-29 12:00:00,2021-07-29,2021-07-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-08-04 09:15:00,43.9,15.37,1426.75,2021-08-02 10:00:00,2021-08-02,2021-08-26,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-08-11 09:15:00,52.1,18.23,1693.25,2021-08-09 12:00:00,2021-08-09,2021-08-26,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-08-16 09:15:00,56.1,19.64,1823.25,2021-08-11 10:00:00,2021-08-11,2021-08-26,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-09-01 10:15:00,51.65,18.08,1678.63,2021-08-31 14:00:00,2021-08-31,2021-09-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2021-09-13 09:15:00,51.8,4.75,2352.5,2021-09-02 12:00:00,2021-09-02,2021-09-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2021-09-13 09:15:00,49.5,4.75,2237.5,2021-09-03 10:00:00,2021-09-03,2021-09-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2021-09-21 09:15:00,47.0,86.95,-1997.5,2021-09-20 12:00:00,2021-09-20,2021-09-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-09-24 09:15:00,42.4,14.84,1378.0,2021-09-22 10:00:00,2021-09-22,2021-09-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-09-24 09:15:00,42.4,14.84,1378.0,2021-09-23 11:00:00,2021-09-23,2021-09-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-09-28 14:15:00,39.25,13.74,1275.63,2021-09-28 13:00:00,2021-09-28,2021-09-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Trend Reversal,2021-10-08 10:15:00,59.05,56.65,120.0,2021-10-06 15:00:00,2021-10-06,2021-10-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2021-10-13 09:15:00,49.15,90.93,-2088.88,2021-10-12 15:00:00,2021-10-12,2021-10-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2021-10-19 09:15:00,52.35,12.15,2010.0,2021-10-13 11:00:00,2021-10-13,2021-10-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2021-10-19 09:15:00,48.4,12.15,1812.5,2021-10-14 14:00:00,2021-10-14,2021-10-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2021-10-20 10:15:00,49.7,39.75,497.5,2021-10-19 11:00:00,2021-10-19,2021-10-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-10-21 10:15:00,57.45,20.11,1867.13,2021-10-20 12:00:00,2021-10-20,2021-10-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-10-22 09:15:00,57.5,20.12,1868.75,2021-10-21 13:00:00,2021-10-21,2021-10-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-10-27 14:15:00,22.15,7.75,719.88,2021-10-27 11:00:00,2021-10-27,2021-10-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2021-11-08 12:15:00,61.5,62.7,-60.0,2021-11-02 13:00:00,2021-11-02,2021-11-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Trend Reversal,2021-11-11 10:15:00,47.9,57.8,-495.0,2021-11-08 15:00:00,2021-11-08,2021-11-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-11-17 09:15:00,55.35,19.37,1798.88,2021-11-15 11:00:00,2021-11-15,2021-11-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-11-17 09:15:00,51.75,18.11,1681.88,2021-11-16 10:00:00,2021-11-16,2021-11-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-11-18 09:15:00,52.7,18.45,1712.75,2021-11-17 12:00:00,2021-11-17,2021-11-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2021-11-22 14:15:00,40.2,74.37,-1708.5,2021-11-22 13:00:00,2021-11-22,2021-11-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-11-24 14:15:00,26.2,9.17,851.5,2021-11-24 14:00:00,2021-11-24,2021-11-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2021-11-30 09:15:00,27.8,51.43,-1181.5,2021-11-26 13:00:00,2021-11-26,2021-12-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-12-01 09:15:00,79.85,27.95,2595.12,2021-11-30 15:00:00,2021-11-30,2021-12-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Gap Stop Loss,2021-12-03 09:15:00,45.55,86.7,-2057.5,2021-12-02 15:00:00,2021-12-02,2021-12-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-12-07 09:15:00,73.05,25.57,2374.13,2021-12-06 15:00:00,2021-12-06,2021-12-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-12-08 09:15:00,47.65,16.68,1548.63,2021-12-07 11:00:00,2021-12-07,2021-12-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-12-10 09:15:00,45.25,15.84,1470.62,2021-12-08 11:00:00,2021-12-08,2021-12-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-12-14 09:15:00,63.35,22.17,2058.87,2021-12-13 13:00:00,2021-12-13,2021-12-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Gap Target Hit,2021-12-20 09:15:00,63.55,2.25,3065.0,2021-12-15 10:00:00,2021-12-15,2021-12-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Gap Target Hit,2021-12-20 09:15:00,64.2,2.25,3097.5,2021-12-17 14:00:00,2021-12-17,2021-12-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-12-20 12:15:00,62.7,21.95,2037.75,2021-12-20 11:00:00,2021-12-20,2021-12-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2021-12-21 14:15:00,40.35,14.12,1311.38,2021-12-21 11:00:00,2021-12-21,2021-12-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-12-23 09:15:00,36.55,12.79,1187.88,2021-12-22 14:00:00,2021-12-22,2021-12-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2021-12-28 14:15:00,26.85,9.4,872.62,2021-12-28 11:00:00,2021-12-28,2021-12-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-01-03 09:15:00,52.7,18.44,1712.75,2021-12-31 11:00:00,2021-12-31,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-01-04 09:15:00,48.85,17.1,1587.62,2022-01-03 11:00:00,2022-01-03,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2022-01-05 09:15:00,52.15,17.3,1742.5,2022-01-04 12:00:00,2022-01-04,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-01-06 09:15:00,42.95,79.46,-1825.37,2022-01-05 13:00:00,2022-01-05,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-01-11 09:15:00,46.6,86.21,-1980.5,2022-01-10 14:00:00,2022-01-10,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-01-12 09:15:00,61.35,21.47,1993.88,2022-01-11 10:00:00,2022-01-11,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-01-13 09:15:00,47.35,16.57,1538.88,2022-01-12 11:00:00,2022-01-12,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-01-14 09:15:00,43.65,15.28,1418.62,2022-01-13 11:00:00,2022-01-13,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-01-18 09:15:00,48.4,16.94,1573.0,2022-01-17 10:00:00,2022-01-17,2022-01-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-01-19 09:15:00,55.7,103.05,-2367.25,2022-01-18 15:00:00,2022-01-18,2022-01-27,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-01-24 14:15:00,53.9,99.71,-2290.75,2022-01-24 14:00:00,2022-01-24,2022-01-27,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-01-27 11:15:00,16.45,5.76,534.62,2022-01-27 11:00:00,2022-01-27,2022-01-27,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-01-28 13:15:00,65.8,23.03,2138.5,2022-01-28 12:00:00,2022-01-28,2022-02-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-02-01 09:15:00,61.85,21.65,2010.13,2022-01-31 12:00:00,2022-01-31,2022-02-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-02-03 09:15:00,60.1,21.04,1953.25,2022-02-02 11:00:00,2022-02-02,2022-02-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
