symbol,trades,a_win_rate,a_avg_r,a_profit_factor,a_total_r,b_win_rate,b_avg_r,b_profit_factor,b_total_r,better,edge_diff
ADANIPORTS,108,38.9,-0.027,0.96,-2.97,38.9,-0.028,0.95,-3.0,TRAIL,0.001
ASIANPAINT,78,39.7,-0.085,0.86,-6.59,39.7,-0.016,0.97,-1.21,NO_TRAIL,-0.069
AXISBANK,95,38.9,-0.069,0.89,-6.57,38.9,-0.029,0.95,-2.71,NO_TRAIL,-0.04
BAJAJ-AUTO,83,38.6,-0.091,0.85,-7.55,38.6,-0.024,0.96,-2.03,NO_TRAIL,-0.067
BAJFINANCE,89,39.3,-0.016,0.97,-1.45,39.3,-0.017,0.97,-1.5,TRAIL,0.001
BAJAJFINSV,91,37.4,-0.06,0.9,-5.43,37.4,-0.058,0.91,-5.27,NO_TRAIL,-0.002
BPCL,112,34.8,-0.145,0.77,-16.26,34.8,-0.123,0.81,-13.77,NO_TRAIL,-0.022
BHARTIARTL,97,36.1,-0.097,0.85,-9.45,36.1,-0.089,0.86,-8.68,NO_TRAIL,-0.008
BRITANNIA,72,31.9,-0.262,0.61,-18.89,31.9,-0.186,0.72,-13.39,NO_TRAIL,-0.076
CIPLA,66,28.8,-0.272,0.62,-17.94,28.8,-0.28,0.61,-18.5,TRAIL,0.008
COALINDIA,149,31.5,-0.281,0.59,-41.9,31.5,-0.219,0.68,-32.66,NO_TRAIL,-0.062
DIVISLAB,76,46.1,0.069,1.13,5.24,46.1,0.136,1.25,10.34,NO_TRAIL,-0.067
DRREDDY,90,38.9,-0.153,0.75,-13.8,38.9,-0.028,0.95,-2.5,NO_TRAIL,-0.125
EICHERMOT,102,32.4,-0.258,0.62,-26.29,32.4,-0.191,0.72,-19.5,NO_TRAIL,-0.067
GRASIM,105,38.1,-0.059,0.9,-6.24,38.1,-0.056,0.91,-5.85,NO_TRAIL,-0.003
HCLTECH,173,54.3,0.463,2.01,80.05,54.3,0.357,1.78,61.74,TRAIL,0.106
HDFCBANK,19,47.4,0.081,1.17,1.54,47.4,0.236,1.5,4.48,NO_TRAIL,-0.155
HDFCLIFE,86,40.7,-0.052,0.91,-4.46,40.7,0.021,1.04,1.84,NO_TRAIL,-0.073
HEROMOTOCO,121,41.3,0.067,1.11,8.09,41.3,0.033,1.06,4.0,TRAIL,0.034
HINDALCO,118,34.7,-0.107,0.84,-12.57,34.7,-0.131,0.8,-15.5,TRAIL,0.024
HINDUNILVR,99,34.3,-0.179,0.73,-17.7,34.3,-0.15,0.77,-14.9,NO_TRAIL,-0.029
ICICIBANK,28,25.0,-0.476,0.37,-13.33,25.0,-0.375,0.5,-10.5,NO_TRAIL,-0.101
INFY,150,48.0,0.199,1.38,29.83,48.0,0.203,1.39,30.4,NO_TRAIL,-0.004
ITC,57,40.4,-0.076,0.87,-4.33,40.4,0.023,1.04,1.33,NO_TRAIL,-0.099
INDUSINDBK,117,38.5,-0.111,0.82,-12.99,38.5,-0.024,0.96,-2.82,NO_TRAIL,-0.087
JSWSTEEL,115,34.8,-0.152,0.76,-17.5,34.8,-0.122,0.81,-14.0,NO_TRAIL,-0.03
KOTAKBANK,64,35.9,-0.116,0.82,-7.42,35.9,-0.118,0.82,-7.55,TRAIL,0.002
LT,86,45.3,0.297,1.54,25.53,45.3,0.134,1.24,11.5,TRAIL,0.163
M&M,89,34.8,-0.125,0.81,-11.17,34.8,-0.129,0.8,-11.5,TRAIL,0.004
MARUTI,85,37.6,-0.074,0.88,-6.26,37.6,-0.059,0.91,-5.0,NO_TRAIL,-0.015
NTPC,99,52.5,0.178,1.37,17.62,52.5,0.291,1.61,28.79,NO_TRAIL,-0.113
NESTLEIND,69,36.2,-0.196,0.69,-13.54,36.2,-0.094,0.85,-6.5,NO_TRAIL,-0.102
