trades,win_rate,avg_r,profit_factor,long_trades,short_trades,symbol
161,50.9,0.533,2.09,62,99,ETERNAL
173,49.7,0.49,1.97,73,100,HCLTECH
159,50.9,0.418,1.85,62,97,JKCEMENT
109,48.6,0.403,1.78,45,64,JUBLFOOD
169,43.8,0.396,1.7,76,93,TECHM
86,45.3,0.386,1.71,27,59,LT
155,45.8,0.351,1.67,59,96,COFORGE
138,43.5,0.305,1.55,85,53,PFC
139,41.7,0.296,1.51,85,54,BHEL
117,43.6,0.29,1.51,74,43,JSWENERGY
114,46.5,0.274,1.52,57,57,PNB
99,49.5,0.256,1.51,44,55,MOTHERSON
139,43.2,0.252,1.45,68,71,SIEMENS
173,45.1,0.24,1.44,90,83,MPHASIS
148,41.9,0.234,1.41,62,86,BOSCHLTD
194,41.2,0.22,1.38,62,132,KPITTECH
103,40.8,0.205,1.35,54,49,ASTRAL
135,43.7,0.199,1.35,61,74,ABB
116,41.4,0.184,1.32,39,77,MUTHOOTFIN
150,44.0,0.18,1.32,70,80,INFY
111,44.1,0.178,1.32,55,56,BAJAJHLDNG
101,39.6,0.177,1.29,36,65,MFSL
135,40.0,0.168,1.28,85,50,SONACOMS
83,38.6,0.162,1.27,31,52,BANKBARODA
125,42.4,0.158,1.28,47,78,NMDC
154,41.6,0.156,1.27,40,114,LODHA
161,41.6,0.14,1.24,31,130,ESCORTS
133,42.9,0.14,1.25,63,70,GNFC
129,41.9,0.138,1.24,49,80,SRF
150,40.7,0.134,1.23,47,103,GODREJPROP
99,46.5,0.132,1.25,77,22,NTPC
94,43.6,0.123,1.22,14,80,ULTRACEMCO
142,42.3,0.115,1.2,68,74,TRENT
156,41.7,0.114,1.2,57,99,HINDCOPPER
165,42.4,0.107,1.19,58,107,SHRIRAMFIN
140,42.1,0.09,1.16,40,100,APLAPOLLO
99,40.4,0.083,1.14,48,51,RBLBANK
114,40.4,0.08,1.13,65,49,CUMMINSIND
134,42.5,0.073,1.13,67,67,DEEPAKNTR
201,38.3,0.067,1.11,78,123,PERSISTENT
76,42.1,0.067,1.12,61,15,DIVISLAB
90,43.3,0.066,1.12,34,56,SBILIFE
105,41.0,0.064,1.11,66,39,PAGEIND
92,43.5,0.064,1.12,37,55,WIPRO
109,38.5,0.059,1.1,56,53,TITAN
121,38.0,0.057,1.09,63,58,HEROMOTOCO
89,38.2,0.054,1.09,27,62,BAJFINANCE
139,41.7,0.043,1.07,53,86,INDUSTOWER
113,38.9,0.039,1.06,50,63,MANAPPURAM
183,42.1,0.038,1.07,52,131,COROMANDEL
111,40.5,0.034,1.06,87,24,TATAPOWER
154,39.0,0.034,1.05,77,77,ADANIENSOL
19,42.1,0.021,1.04,13,6,HDFCBANK
86,39.5,0.02,1.03,42,44,HDFCLIFE
117,41.9,0.018,1.03,42,75,DABUR
149,39.6,0.014,1.02,80,69,POLYCAB
104,39.4,0.012,1.02,53,51,JSWINFRA
142,35.9,0.011,1.02,89,53,CGPOWER
96,40.6,0.009,1.02,32,64,ACC
94,35.1,0.009,1.01,66,28,PIIND
131,38.9,0.009,1.02,27,104,BALKRISIND
83,36.1,0.008,1.01,53,30,BAJAJ-AUTO
98,40.8,0.005,1.01,51,47,BERGEPAINT
124,38.7,0.002,1.0,56,68,ADANIGREEN
155,36.8,0.002,1.0,80,75,JINDALSTEL
169,39.6,0.001,1.0,110,59,OFSS
139,36.7,-0.006,0.99,71,68,SOLARINDS
99,32.3,-0.01,0.99,48,51,TORNTPHARM
91,37.4,-0.01,0.98,33,58,BAJAJFINSV
78,39.7,-0.013,0.98,43,35,HDFCAMC
108,36.1,-0.015,0.98,63,45,ADANIPORTS
171,34.5,-0.019,0.97,59,112,KEI
158,36.7,-0.023,0.96,90,68,GLENMARK
60,31.7,-0.027,0.96,38,22,TATACONSUM
197,36.5,-0.035,0.94,109,88,SAIL
80,38.8,-0.037,0.94,42,38,SUNPHARMA
114,35.1,-0.038,0.94,51,63,HAVELLS
85,36.5,-0.039,0.94,31,54,MARUTI
78,38.5,-0.042,0.93,63,15,ASIANPAINT
159,36.5,-0.045,0.93,75,84,AUBANK
95,37.9,-0.046,0.93,38,57,AXISBANK
118,34.7,-0.047,0.93,73,45,HINDALCO
173,37.0,-0.048,0.92,93,80,BANDHANBNK
147,34.0,-0.048,0.93,63,84,ADANIENT
129,37.2,-0.048,0.92,54,75,NAUKRI
89,36.0,-0.057,0.91,38,51,CANBK
105,35.2,-0.07,0.89,53,52,GRASIM
67,34.3,-0.071,0.89,35,32,APOLLOHOSP
57,36.8,-0.086,0.86,33,24,ITC
143,33.6,-0.097,0.85,49,94,KALYANKJIL
131,32.8,-0.102,0.85,54,77,PETRONET
144,35.4,-0.103,0.84,80,64,TIINDIA
64,34.4,-0.11,0.83,34,30,KOTAKBANK
87,33.3,-0.112,0.83,56,31,EXIDEIND
173,34.7,-0.118,0.82,88,85,UNIONBANK
134,33.6,-0.127,0.81,63,71,RECLTD
101,33.7,-0.127,0.81,37,64,DLF
172,32.6,-0.131,0.81,114,58,TORNTPOWER
83,33.7,-0.131,0.8,40,43,PIDILITIND
117,35.0,-0.134,0.79,55,62,INDUSINDBK
87,34.5,-0.134,0.8,49,38,ZYDUSLIFE
114,36.0,-0.136,0.79,48,66,INDHOTEL
185,35.1,-0.142,0.78,80,105,VOLTAS
104,32.7,-0.145,0.78,50,54,BEL
68,32.4,-0.148,0.78,38,30,RELIANCE
89,31.5,-0.149,0.78,45,44,M&M
140,32.1,-0.151,0.77,77,63,TATASTEEL
103,32.0,-0.151,0.78,54,49,ONGC
135,31.9,-0.152,0.78,61,74,TVSMOTOR
112,31.2,-0.163,0.76,24,88,BPCL
97,29.9,-0.164,0.76,64,33,BHARTIARTL
120,33.3,-0.167,0.75,43,77,GODREJCP
96,33.3,-0.173,0.74,19,77,AMBUJACEM
90,31.1,-0.173,0.75,30,60,JIOFIN
91,36.3,-0.174,0.72,25,66,BATAINDIA
99,32.3,-0.176,0.74,70,29,HINDUNILVR
187,34.8,-0.178,0.73,49,138,DALBHARAT
115,31.3,-0.179,0.74,57,58,JSWSTEEL
85,32.9,-0.181,0.73,25,60,IOC
152,32.9,-0.184,0.72,92,60,POLICYBZR
137,32.8,-0.185,0.72,37,100,CROMPTON
90,34.4,-0.187,0.72,59,31,DRREDDY
