symbol,rr1.5_avg_r,rr1.5_wr,rr1.5_pf,rr1.65_avg_r,rr1.65_wr,rr1.65_pf,rr1.75_avg_r,rr1.75_wr,rr1.75_pf,rr2.0_avg_r,rr2.0_wr,rr2.0_pf,rr2.5_avg_r,rr2.5_wr,rr2.5_pf,rr3.0_avg_r,rr3.0_wr,rr3.0_pf,best_ratio
ETERNAL,0.3665,54.7,1.81,0.3661,51.6,1.76,0.4006,50.9,1.82,0.4958,50.3,2.0,0.4898,43.5,1.87,0.5739,41.0,1.97,3.0
HCLTECH,0.3569,54.3,1.78,0.3426,50.9,1.7,0.3605,49.7,1.72,0.4211,48.0,1.81,0.5804,46.2,2.08,0.5987,41.6,2.03,3.0
TECHM,0.213,48.5,1.41,0.2074,45.6,1.38,0.2041,43.8,1.36,0.1442,39.1,1.24,0.19,34.9,1.29,0.1427,29.6,1.2,1.5
COFORGE,0.2937,51.6,1.62,0.2878,48.4,1.57,0.2486,45.8,1.47,0.339,45.2,1.64,0.395,40.6,1.69,0.472,38.7,1.79,3.0
JKCEMENT,0.3164,52.8,1.67,0.378,52.2,1.79,0.3977,50.9,1.81,0.4489,48.4,1.87,0.4372,42.1,1.76,0.3705,35.8,1.58,2.0
JUBLFOOD,0.2205,49.5,1.44,0.2678,48.6,1.52,0.3012,48.6,1.59,0.3479,46.8,1.66,0.4657,44.0,1.85,0.6181,43.1,2.11,3.0
TATAELXSI,0.1957,47.8,1.38,0.218,46.0,1.4,0.264,46.0,1.49,0.3043,43.5,1.54,0.3718,39.1,1.62,0.5363,38.5,1.88,3.0
BHEL,0.1704,46.8,1.32,0.1555,43.9,1.28,0.1393,41.7,1.24,0.1987,40.3,1.33,0.2378,36.0,1.37,0.3135,34.5,1.48,3.0
NAVINFLUOR,0.0695,43.5,1.12,0.111,42.7,1.19,0.1521,42.7,1.27,0.2066,41.1,1.35,0.1951,35.5,1.3,0.2442,33.1,1.36,3.0
TATACHEM,0.08,43.2,1.14,0.0873,41.6,1.15,0.1273,41.6,1.22,0.083,36.8,1.13,0.0333,31.2,1.05,0.0675,28.8,1.1,1.75
LT,0.1337,45.3,1.24,0.1968,45.3,1.36,0.241,45.3,1.44,0.2541,41.9,1.44,0.3762,39.5,1.63,0.5606,39.5,1.94,3.0
JYOTHYLAB,0.1671,47.8,1.32,0.2114,46.9,1.4,0.2445,46.9,1.46,0.2537,44.2,1.46,0.2369,38.9,1.4,0.2192,34.5,1.34,2.0
PNB,0.2139,48.2,1.42,0.2425,47.4,1.47,0.2581,46.5,1.49,0.2888,43.9,1.52,0.2277,36.8,1.37,0.3033,35.1,1.48,3.0
PFC,0.1299,44.9,1.24,0.177,44.2,1.32,0.2006,43.5,1.36,0.2422,41.3,1.42,0.3133,37.7,1.51,0.3735,34.8,1.58,3.0
PRESTIGE,0.1432,45.8,1.26,0.0901,41.0,1.15,0.0922,39.6,1.15,0.0876,36.8,1.14,0.1211,33.3,1.18,0.1159,29.9,1.17,1.5
